Amount,PaymentDate,CustomerId,InvoiceId
0,2019-10-25 22:53:08,b7ae6465-a37e-436e-a886-23c19ab2656d,894
858.44,2019-01-22 12:32:38,4e561607-c15a-4560-ba03-1e942859f30f,755
3620.08,2020-02-19 02:42:55,843cacdc-8b9f-4d84-8c6d-352ade8ea09f,254
238.24,2019-06-20 06:12:39,30a3ba2d-99f5-4165-9663-aaffd598cf62,295
2701.28,2019-02-16 01:47:04,53a5c864-a43e-4fe2-8fea-5a91b9f90de1,947
341.68,2020-03-01 20:18:46,7e4c4d35-2d55-419b-bfd8-ed9fdff40d6e,822
1145.45,2019-05-01 05:51:17,211b0f96-82ff-445a-9aab-0585f99d3758,675
0,2019-04-27 06:49:40,f746cdca-2231-4a73-b44a-0e8b4c46de8c,315
0,2019-05-06 00:07:27,b8bc9f77-ef56-4be2-abda-c99edcdb368c,24
0,2020-02-02 03:51:56,6e9dc2fd-87c8-462a-9318-8a45e1321ba2,68
0,2019-01-02 00:23:21,17a3addc-ec1b-4842-9918-a5ac7a6d5458,930
276.59,2019-03-21 16:59:29,19a0c27a-6399-4439-8dac-02bc455ad2de,996
0,2019-07-16 05:54:09,898dcdcf-a95d-4bef-bb76-32c41a00e49a,67
1646.66,2020-01-27 14:49:14,2b660037-41f9-4f35-81c7-d89b25c343db,796
0,2019-03-24 19:17:45,e8decd48-742c-4bea-9228-dde5ac1a87c6,192
1145.11,2019-08-29 15:23:47,52543c58-e820-4e16-a02c-cd5d83f4ee46,393
800.77,2019-10-07 08:54:32,db370b5e-16fe-43f1-b5db-57517d48fce6,536
540.75,2019-01-28 08:45:45,d5b9c6ef-7ee5-4959-9d25-519ff7f9c1c6,217
860.7,2020-01-18 14:49:50,7c7cdecb-ea53-4714-ae60-c96b1d8b0305,522
1062.68,2019-07-31 12:33:48,731f5aae-accd-41e3-a407-b7549ca22d1f,320
0,2020-03-10 13:54:23,8a7599ba-8d0a-43ad-9d05-fd442dd2c546,793
0,2019-10-25 07:09:31,f92b078f-924c-484a-9384-5ae4b6c9ae6d,869
0,2019-04-06 17:57:23,1cbb4ff5-ecce-4c15-8c45-d0e4c1aa6c2e,284
0,2020-02-11 09:17:03,fd33ef28-c65a-4c14-9bdb-bad712630756,767
606.08,2019-09-27 20:37:24,84723f04-d1b5-4c6f-879a-282bc0991cd8,306
4042.8,2019-03-15 13:59:24,471496ca-33a5-41bd-ac83-ce6a97c541ec,904
453.05,2019-09-02 03:59:06,229cec8a-0c7f-4a0f-8a43-35ee28d65449,717
0,2020-01-28 13:00:05,4ea03f6f-6d70-42cd-9613-ee4c34ad17fc,460
0,2020-02-16 10:03:59,fff0cdef-1272-48e7-8de0-7adf1a560c33,241
1371.58,2020-01-01 17:34:17,bcc94102-3606-4bff-8e74-12114f952e76,945
0,2019-05-13 23:11:22,e97f9305-5453-4e6e-9bf9-6c3a286210a5,222
376.82,2019-05-27 12:35:05,d406284f-f197-403b-9d01-e84bac2fcc5a,389
0,2019-09-28 12:03:49,8e152fe9-61d2-4e07-b211-953c72d03537,145
0,2019-08-01 16:42:24,2439e34f-802b-476b-ab21-b51ce42ccda7,427
0,2019-07-06 13:11:50,a0dbe104-d657-41ff-94c8-a98d2ff4129d,438
3686.07,2019-09-10 10:43:37,2f75ab4f-0994-4f40-b719-261bdf41aedf,255
0,2019-09-03 03:09:26,6aa8aa03-a545-49d0-b5ae-9b33cb7bca5e,16
0,2019-06-29 06:46:32,402a775f-b150-4230-9ff6-1d27c5cf377a,767
2215.3,2019-10-26 16:55:52,471496ca-33a5-41bd-ac83-ce6a97c541ec,114
0,2019-07-22 04:39:07,6578dacb-4913-447d-89d7-63efdbd03c8e,304
2345.95,2019-09-14 15:33:07,ea234ae2-9183-4404-921a-435ce80f9dff,650
941.06,2019-02-24 09:44:44,706fe6e2-7fd6-482e-89c5-8ae0bdfd6d71,78
0,2019-09-02 15:03:46,2f4aeaba-7963-4610-bb45-3d8bac7dadc5,831
361.16,2019-06-18 12:02:38,670e87e4-50b3-4b0b-84be-7b7132848487,915
