Id,InvoiceNumber,CreationDate,DateSent,TotalPrice,PayedAmount,IsPayed,DatePayed,CustomerId
c079c262-e59b-45d8-8542-9e214cc0fa1b,1,2010-08-16 11:37:10,2019-05-13 20:58:34,4886.3,3920.81,0,"",{788943CA-9CEE-4B23-B20F-AF488A042803}
399648d8-2bc4-4e59-bd59-af82e6aeae74,2,2017-10-07 04:37:38,2019-06-29 07:25:47,4153.34,898.0,0,"",{45567959-C481-4EC6-88F5-42DB593E0C32}
c6a0a291-71d1-44d2-91bf-a38eaed4e6cb,3,2017-09-26 05:04:06,2020-02-18 22:08:26,457.05,457.05,1,2020-03-05 23:37:36,{3299FD5A-EE2C-4BF6-88F8-6C5D38725687}
c1a2eb83-6ba2-47c4-a54c-c973401193e4,4,2010-11-17 22:31:02,2020-01-08 02:27:26,4766.79,1359.24,0,"",{28150DB4-CBF4-49FC-9230-4C00289930E7}
7437573c-c2f6-42f1-af77-28875aec9f7f,5,2015-05-29 01:14:52,2020-01-21 09:04:19,3101.26,2744.12,0,"",{FA0C09AE-DE93-4A58-AA82-C301F78792E4}
f5168d2e-a0ea-4ea2-8c9a-86d4c59f5c9e,6,2013-12-14 20:44:01,2019-05-25 22:22:23,840.92,840.92,1,2019-06-08 23:58:14,{18FC79AB-E519-4B3D-8EFA-B52309FB1C38}
e323d927-76b1-451c-9ef9-d9a4f205aa04,7,2015-03-27 19:48:46,2019-10-03 09:12:48,2169.12,336.1,0,"",{8DEBDB6B-AFF8-4772-B0D6-2BC574EA331F}
a073b231-a142-49c0-bae1-2fffc8727a62,8,2018-12-09 01:42:02,2019-09-11 18:15:48,218.71,218.71,1,2019-09-25 09:20:00,{1A03D986-D4C0-4622-9D4E-1E42A14E6FED}
882437ef-702f-4e6d-9e26-64e6f6af4227,9,2015-08-06 18:06:59,2020-02-19 06:04:11,2469.05,2469.05,1,2019-09-02 13:26:16,{AC7B3B0E-82D9-468B-B6DB-7F02B05B06AD}
3e97d89c-27cf-4270-be9d-10bfa5368397,10,2012-01-27 03:21:19,2019-06-06 02:46:19,3898.89,3898.89,1,2019-08-26 09:29:47,{A972350F-0783-4B06-8262-A53DB21C0608}
cbe328d0-cf4f-4fcd-bd68-82286355c332,11,2017-04-10 03:18:29,2020-01-18 15:11:43,4973.53,177.88,0,"",{1A03D986-D4C0-4622-9D4E-1E42A14E6FED}
0db986d8-2f78-46fe-bc60-29e32d17c07a,12,2015-10-11 13:19:05,2019-05-28 12:01:54,4781.38,1210.72,0,"",{D9C07B50-7FEE-4495-B814-CDE874B9946D}
de98498f-506c-4ea7-9b40-f3703f338fb4,13,2011-05-09 01:15:32,2019-12-25 05:02:53,2535.14,2535.14,1,2020-01-08 09:02:56,{128242FC-6D7F-4672-A31D-BE31A5BE77FB}
e58c5460-efe2-42ab-a66a-a3aed692ee93,14,2013-08-09 02:38:57,2019-03-21 06:56:40,4156.54,353.45,0,"",{934FF96E-B292-46B0-A667-8DA1EA99F0A8}
